"LineId","Month","Date","Time","Level","Component","PID","Content","EventId","EventTemplate"
"99","Oct","10","20:15:38","ns1","ftpd","28309","FTP session closed","E32","FTP session closed"
"100","Oct","10","20:15:38","ns1","ftpd","28321","FTP session closed","E32","FTP session closed"
"101","Oct","10","20:15:38","ns1","ftpd","28306","FTP session closed","E32","FTP session closed"
"102","Oct","10","20:15:42","ns1","ftpd","28322","FTP session closed","E32","FTP session closed"
"103","Oct","10","20:15:42","ns1","ftpd","28323","FTP session closed","E32","FTP session closed"
"104","Oct","10","20:15:42","ns1","ftpd","28324","FTP session closed","E32","FTP session closed"
"105","Oct","11","01:08:33","ns1","ftpd","29890","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"106","Oct","11","01:08:33","ns1","ftpd","29892","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"107","Oct","11","01:08:33","ns1","ftpd","29894","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"108","Oct","11","01:08:33","ns1","ftpd","29895","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"109","Oct","11","01:08:33","ns1","ftpd","29897","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"110","Oct","11","01:08:33","ns1","ftpd","29899","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"111","Oct","11","01:08:33","ns1","ftpd","29901","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"112","Oct","11","01:08:33","ns1","ftpd","29902","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"113","Oct","11","01:08:33","ns1","ftpd","29904","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"114","Oct","11","01:08:33","ns1","ftpd","29906","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"115","Oct","11","01:08:33","ns1","ftpd","29907","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"116","Oct","11","01:08:33","ns1","ftpd","29898","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"117","Oct","11","01:08:33","ns1","ftpd","29911","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"118","Oct","11","01:08:33","ns1","ftpd","29893","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
